GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT ARCH ROCK,2018,20793.00,22429.00,30230.00,36935.00,46739.00,45000.00,21450.00,,,,,
TRAFFIC COUNT AT ARCH ROCK,2017,20184.00,24206.00,46112.00,66498.00,67532.00,57925.00,57547.00,57367.00,63136.00,48242.00,33996.00,19405.00
TRAFFIC COUNT AT ARCH ROCK,2016,21728.00,26196.00,32769.00,38821.00,52689.00,58480.00,60143.00,54744.00,52947.00,43187.00,28816.00,23811.00
TRAFFIC COUNT AT ARCH ROCK,2015,19875.00,19574.00,28666.00,35198.00,45677.00,49450.00,48671.00,49004.00,43376.00,36641.00,24772.00,23412.00
TRAFFIC COUNT AT ARCH ROCK,2014,16919.00,16924.00,21754.00,32520.00,44950.00,45000.00,56355.00,49472.00,40474.00,29344.00,23857.00,21975.00
TRAFFIC COUNT AT ARCH ROCK,2013,16634.00,17536.00,25560.00,30371.00,44950.00,45000.00,50987.00,55726.00,40552.00,20237.00,22968.00,18484.00
TRAFFIC COUNT AT ARCH ROCK,2012,18387.00,17877.00,23422.00,33551.00,45200.00,49717.00,50002.00,49600.00,38196.00,28858.00,19275.00,17383.00
TRAFFIC COUNT AT ARCH ROCK,2011,17128.00,17345.00,19730.00,31500.00,44950.00,56213.00,59327.00,54471.00,44896.00,37061.00,22218.00,18149.00
TRAFFIC COUNT AT ARCH ROCK,2010,15385.00,16482.00,22692.00,29365.00,45513.00,56830.00,57350.00,51946.00,46205.00,34755.00,21411.00,15627.00
TRAFFIC COUNT AT ARCH ROCK,2009,15440.00,14002.00,20361.00,29003.00,42580.00,47773.00,51030.00,49969.00,43796.00,34237.00,21837.00,17474.00
TRAFFIC COUNT AT ARCH ROCK,2008,15048.00,16700.00,22401.00,25287.00,38920.00,44019.00,43485.00,42423.00,36330.00,31070.00,19285.00,15803.00
TRAFFIC COUNT AT ARCH ROCK,2007,14722.00,14248.00,19687.00,26916.00,37943.00,42237.00,44124.00,43148.00,37132.00,30765.00,21216.00,16432.00
TRAFFIC COUNT AT ARCH ROCK,2006,17670.00,15490.00,20985.00,29254.00,1060.00,0.00,0.00,31704.00,35095.00,28959.00,21048.00,16477.00
TRAFFIC COUNT AT ARCH ROCK,2005,15983.00,18900.00,23250.00,31500.00,44950.00,49348.00,51150.00,49600.00,41342.00,33369.00,22605.00,16726.00
TRAFFIC COUNT AT ARCH ROCK,2004,15788.00,16324.00,20640.00,30058.00,40126.00,42490.00,44650.00,42566.00,36162.00,27661.00,18134.00,16989.00
TRAFFIC COUNT AT ARCH ROCK,2003,15962.00,15027.00,19178.00,23627.00,35503.00,44135.00,45213.00,44444.00,34301.00,31196.00,19283.00,17228.00
TRAFFIC COUNT AT ARCH ROCK,2002,15244.00,15358.00,19562.00,25162.00,37050.00,41790.00,44301.00,43849.00,34883.00,29822.00,21691.00,16764.00
TRAFFIC COUNT AT ARCH ROCK,2001,17670.00,18900.00,23250.00,25395.00,35564.00,39097.00,43614.00,49600.00,32557.00,27521.00,18954.00,17885.00
TRAFFIC COUNT AT ARCH ROCK,2000,11400.00,10800.00,13500.00,12600.00,26100.00,45000.00,51150.00,49600.00,16800.00,35650.00,22500.00,20150.00
TRAFFIC COUNT AT ARCH ROCK,1999,11400.00,10985.00,13500.00,12600.00,26100.00,37500.00,51150.00,49600.00,16800.00,17250.00,13500.00,7800.00
TRAFFIC COUNT AT ARCH ROCK,1998,15549.00,15062.00,20876.00,28751.00,37179.00,36732.00,49673.00,49855.00,41584.00,35650.00,13500.00,7800.00
TRAFFIC COUNT AT ARCH ROCK,1997,0.00,113.00,300.00,6994.00,17520.00,36036.00,42966.00,47096.00,38541.00,34408.00,21227.00,17525.00
TRAFFIC COUNT AT ARCH ROCK,1996,15143.00,18911.00,23648.00,31756.00,38442.00,46409.00,49043.00,49600.00,42110.00,35650.00,22500.00,19500.00
TRAFFIC COUNT AT ARCH ROCK,1995,17016.00,19879.00,6967.00,27850.00,43812.00,50229.00,53267.00,51966.00,46216.00,39525.00,22998.00,12273.00
TRAFFIC COUNT AT ARCH ROCK,1994,17962.00,18382.00,23579.00,31082.00,40803.00,42805.00,46679.00,47880.00,41400.00,34522.00,21505.00,20930.00
TRAFFIC COUNT AT ARCH ROCK,1993,17934.00,18481.00,22843.00,35414.00,49454.00,44065.00,54014.00,50490.00,43126.00,37269.00,23077.00,19173.00
TRAFFIC COUNT AT ARCH ROCK,1992,19247.00,17861.00,21832.00,33251.00,45164.00,44244.00,48750.00,49994.00,40366.00,34452.00,22493.00,18383.00
TRAFFIC COUNT AT ARCH ROCK,1991,16036.00,16115.00,20341.00,26154.00,40361.00,39028.00,46778.00,48979.00,39141.00,33019.00,22704.00,17988.00
TRAFFIC COUNT AT ARCH ROCK,1990,17260.00,17352.00,22010.00,31171.00,40716.00,41200.00,40544.00,32608.00,31955.00,30048.00,20331.00,15314.00
TRAFFIC COUNT AT ARCH ROCK,1989,17545.00,16976.00,22450.00,27660.00,40242.00,38763.00,42677.00,44268.00,35592.00,30198.00,22508.00,17854.00
TRAFFIC COUNT AT ARCH ROCK,1988,18174.00,17846.00,22793.00,27685.00,40121.00,40121.00,41735.00,41191.00,32951.00,28821.00,21001.00,17468.00
TRAFFIC COUNT AT ARCH ROCK,1987,16073.00,16731.00,18714.00,28382.00,40757.00,39036.00,42199.00,43175.00,35128.00,28508.00,25262.00,17300.00
TRAFFIC COUNT AT ARCH ROCK,1986,15880.00,13464.00,20102.00,23152.00,35559.00,32321.00,34350.00,49218.00,35411.00,22354.00,12992.00,15051.00
TRAFFIC COUNT AT ARCH ROCK,1985,13370.00,14605.00,15469.00,22392.00,32166.00,33551.00,37450.00,36613.00,29839.00,25872.00,17366.00,14257.00
TRAFFIC COUNT AT BADGER PASS,2018,12400.00,14700.00,12400.00,2250.00,8525.00,22500.00,44950.00,,,,,
TRAFFIC COUNT AT BADGER PASS,2017,10054.00,7617.00,9111.00,300.00,8525.00,22500.00,44950.00,44950.00,33750.00,23250.00,4500.00,10850.00
TRAFFIC COUNT AT BADGER PASS,2016,12400.00,15225.00,12400.00,2250.00,36055.00,22500.00,44950.00,44950.00,33750.00,23250.00,11144.00,10850.00
TRAFFIC COUNT AT BADGER PASS,2015,10400.00,14700.00,12400.00,4500.00,8525.00,22500.00,44950.00,44950.00,33750.00,23250.00,0.00,10850.00
TRAFFIC COUNT AT BADGER PASS,2014,12400.00,14700.00,12400.00,4500.00,8525.00,22500.00,44950.00,44950.00,33750.00,23250.00,4500.00,10850.00
TRAFFIC COUNT AT BADGER PASS,2013,7172.00,14700.00,7691.00,598.00,30120.00,30297.00,44950.00,44950.00,33750.00,23250.00,4500.00,10850.00
TRAFFIC COUNT AT BADGER PASS,2012,12400.00,15225.00,12400.00,4500.00,8525.00,22500.00,44950.00,41313.00,29575.00,18576.00,3210.00,4468.00
TRAFFIC COUNT AT BADGER PASS,2011,9542.00,6918.00,4666.00,1717.00,8525.00,38990.00,33965.00,39911.00,28610.00,23250.00,450.00,8750.00
TRAFFIC COUNT AT BADGER PASS,2010,12400.00,14700.00,12400.00,4500.00,8525.00,29917.00,40910.00,40366.00,31627.00,18700.00,2838.00,5717.00
TRAFFIC COUNT AT BADGER PASS,2009,12400.00,14700.00,12400.00,4500.00,8525.00,22500.00,44950.00,44950.00,33750.00,23250.00,4500.00,10850.00
TRAFFIC COUNT AT BADGER PASS,2008,12158.00,15225.00,12400.00,4500.00,8525.00,22500.00,44950.00,44950.00,33750.00,23250.00,4650.00,10850.00
TRAFFIC COUNT AT BADGER PASS,2007,8655.00,7766.00,7512.00,4500.00,21847.00,27131.00,44950.00,44950.00,33750.00,23250.00,4500.00,10850.00
TRAFFIC COUNT AT BADGER PASS,2006,8765.00,9340.00,6339.00,3117.00,5246.00,31477.00,44950.00,44950.00,33750.00,23250.00,6221.00,5340.00
TRAFFIC COUNT AT BADGER PASS,2005,8377.00,8890.00,7894.00,0.00,2425.00,31631.00,41442.00,36983.00,33750.00,18855.00,8732.00,4243.00
TRAFFIC COUNT AT BADGER PASS,2004,12400.00,9461.00,8310.00,3459.00,17097.00,22500.00,32893.00,20409.00,33750.00,13088.00,406.00,6651.00
TRAFFIC COUNT AT BADGER PASS,2003,12400.00,16275.00,12400.00,4500.00,8525.00,22500.00,34411.00,44950.00,23940.00,23250.00,483.00,6410.00
TRAFFIC COUNT AT BADGER PASS,2002,10910.00,11267.00,9848.00,2172.00,8525.00,22500.00,44950.00,44950.00,33750.00,23250.00,4500.00,10850.00
